model,beta,panel,ann_return_pct,return_cvar,sortino,mdd_pct,n_obs
RW-DCC-SKT,0.95,long_only,3.413755851328955,0.19658906863988101,0.367162622266135,-20.297336201374634,197
RW-ADCC-SKT,0.95,long_only,4.304134212955758,0.24876744710099558,0.5172792534525142,-19.16608034477587,201
RW-GAS-SKT,0.95,long_only,3.771336527659418,0.22788364059424732,0.4239662737471447,-21.27991899375529,202
SVR-DCC-SKT,0.95,long_only,3.7270517040288857,0.08793375889300437,0.2664235504344763,-32.87070309653106,210
SVR-ADCC-SKT,0.95,long_only,3.899479984357157,0.09123564671819942,0.288726639816979,-34.77754605251307,209
SVR-GAS-SKT,0.95,long_only,3.6088405924804103,0.08101927226850444,0.23644869461917065,-40.26467723250359,208
SC-SVR-DCC-SKT,0.95,long_only,3.6975208033310434,0.08658272174400777,0.2647951163939376,-33.564435608471946,208
SC-SVR-ADCC-SKT,0.95,long_only,3.7217684220614298,0.0870872665303451,0.2654341603997331,-34.80403215123028,209
SC-SVR-GAS-SKT,0.95,long_only,3.731738892129072,0.08372766829090224,0.2531847516750267,-39.39248795450293,208
DMA-DCC-SKT,0.95,long_only,2.2873513646081127,0.07913128728723176,0.1374010922413441,-17.877148821914883,209
DMA-ADCC-SKT,0.95,long_only,2.458227756748342,0.08519239769064182,0.17241787884450382,-17.811156209884953,211
DMA-GAS-SKT,0.95,long_only,2.602974779709528,0.08994258300866631,0.20560115073933888,-17.789309688079374,211
RW-DCC-SKT,0.95,130_30,4.591853602845731,0.3076566334917186,0.45121648508002515,-24.62834562640336,196
RW-ADCC-SKT,0.95,130_30,4.031872146814867,0.25219266745690466,0.37245281068093256,-23.29298885896096,197
RW-GAS-SKT,0.95,130_30,4.082791292865614,0.2552237911969505,0.4027106208592664,-22.88678126222884,187
SVR-DCC-SKT,0.95,130_30,3.353936396745306,0.09485462266081267,0.2311640916775233,-29.523776093272375,206
SVR-ADCC-SKT,0.95,130_30,3.468987911802161,0.09963780389407187,0.25334843067531404,-27.62626881279179,208
SVR-GAS-SKT,0.95,130_30,4.305157216166053,0.1105571434372603,0.34325736174354377,-26.606613342992556,205
SC-SVR-DCC-SKT,0.95,130_30,3.373292968410164,0.09411447804373389,0.23128254827144756,-26.097935069567963,204
SC-SVR-ADCC-SKT,0.95,130_30,3.6580989440341147,0.10435054142085759,0.2793099550344239,-25.902450666742038,207
SC-SVR-GAS-SKT,0.95,130_30,4.072863197668828,0.10631966954144263,0.3170040609667146,-27.356572459070154,204
DMA-DCC-SKT,0.95,130_30,3.243351388474046,0.13104153994290377,0.27925654749780054,-26.647466959946886,209
DMA-ADCC-SKT,0.95,130_30,3.0567494985625396,0.12459209929840002,0.2362388965059934,-27.544843029524863,210
DMA-GAS-SKT,0.95,130_30,3.353374741588022,0.13500294145881123,0.30023514051800054,-27.869233320470034,210
RW-DCC-SKT,0.99,long_only,4.200786624213239,0.13130528775046849,0.45821619757822196,-20.78149710098309,203
RW-ADCC-SKT,0.99,long_only,3.854956008646013,0.12405818301315336,0.4257537098440236,-19.94011293306319,203
RW-GAS-SKT,0.99,long_only,3.982878305925132,0.13255308752416517,0.460069717772994,-22.24959955586768,207
SVR-DCC-SKT,0.99,long_only,3.7181241400889116,0.05871101941836491,0.26437723938301083,-34.80969911989145,211
SVR-ADCC-SKT,0.99,long_only,3.9246513048058485,0.0615096327861389,0.28881903478852455,-33.762442129871204,211
SVR-GAS-SKT,0.99,long_only,3.6935462154604943,0.055740826935111426,0.23376052278592133,-40.22972042774676,210
SC-SVR-DCC-SKT,0.99,long_only,3.770538351967765,0.05934618870345501,0.2715850080668017,-34.778717405261176,210
SC-SVR-ADCC-SKT,0.99,long_only,3.9301262853786363,0.061597906617935454,0.2894636307007798,-33.749282955530795,211
SC-SVR-GAS-SKT,0.99,long_only,3.6948394141341536,0.05576210242130877,0.23390354910674488,-40.230867110815446,210
DMA-DCC-SKT,0.99,long_only,2.6606516930277815,0.06007874548414688,0.2199142909915506,-17.883424889721475,210
DMA-ADCC-SKT,0.99,long_only,2.9257628437228966,0.06536636115628514,0.26909599781527976,-17.79267465472788,210
DMA-GAS-SKT,0.99,long_only,3.244157235321174,0.07198352086507348,0.3411067825875359,-17.792201767615413,210
RW-DCC-SKT,0.99,130_30,4.834884330605959,0.1535910598973289,0.5110715694745364,-22.269262649818693,205
RW-ADCC-SKT,0.99,130_30,4.329403115216383,0.14681839471790495,0.4026595343520741,-22.020502754074318,203
RW-GAS-SKT,0.99,130_30,5.1914070212713375,0.16028197527799326,0.5446699542983415,-24.277155160508677,204
SVR-DCC-SKT,0.99,130_30,3.5019081349286685,0.06419980373660956,0.23522810450693987,-25.1931784742713,208
SVR-ADCC-SKT,0.99,130_30,3.1621397999813574,0.05865263837494687,0.18686119125422296,-29.952556053359313,208
SVR-GAS-SKT,0.99,130_30,3.863086418069007,0.06770439900211739,0.27174982964778727,-31.07868659018899,210
SC-SVR-DCC-SKT,0.99,130_30,3.7031507696301933,0.06759538536737313,0.26214134424127494,-24.620673628659166,207
SC-SVR-ADCC-SKT,0.99,130_30,3.086870296231604,0.057271227389622786,0.1783195039170942,-30.763389061622153,208
SC-SVR-GAS-SKT,0.99,130_30,3.8332934432400254,0.06723233018751475,0.26943759747051615,-31.276585619341784,210
DMA-DCC-SKT,0.99,130_30,3.5347949789209583,0.08609131454762882,0.32800969244162165,-26.22774871459155,210
DMA-ADCC-SKT,0.99,130_30,3.8972571615614586,0.09681980903897999,0.3940542202712223,-25.990644703210712,210
DMA-GAS-SKT,0.99,130_30,3.991449821402957,0.09815338311325938,0.40404667108160447,-27.676619977196093,211
