Factor,Statistic,RW,Best,SVR,SC-SVR,DMA
MKT,MAE,0.045118,0.033034,0.037235,0.037236,0.03616
MKT,MAPE,345.45,130.53,250.25,250.28,220.81
MKT,RMSE,0.058813,0.044582,0.050989,0.050991,0.047814
MKT,THEIL-U,1.0,0.758,0.867,0.867,0.813
MKT,PT_stat,0.8859,0.0,0.8078,0.8078,0.9911
MKT,PT_pval,0.3757,1.0,0.4192,0.4192,0.3216
MKT,DM_stat,-4.0427,1.4401,-1.0881,-1.0888,
MKT,DM_pval,0.0001,0.1498,0.2765,0.2763,
SMB,MAE,0.033686,0.022184,0.024533,0.024533,0.027365
SMB,MAPE,457.17,100.0,215.63,215.64,305.2
SMB,RMSE,0.047544,0.031212,0.033537,0.033537,0.036815
SMB,THEIL-U,1.0,0.6565,0.7054,0.7054,0.7743
SMB,PT_stat,-1.9715,0.0,-0.1483,-0.1483,-1.6311
SMB,PT_pval,0.0487,1.0,0.8821,0.8821,0.1029
SMB,DM_stat,-2.2353,5.0767,2.6604,2.6601,
SMB,DM_pval,0.0254,0.0,0.0078,0.0078,
HML,MAE,0.028961,0.021766,0.023567,0.023567,0.025221
HML,MAPE,355.09,145.06,183.63,183.64,294.71
HML,RMSE,0.041842,0.031018,0.032327,0.032327,0.035203
HML,THEIL-U,1.0,0.7413,0.7726,0.7726,0.8413
HML,PT_stat,1.8554,0.739,0.7809,0.7809,2.1203
HML,PT_pval,0.0635,0.4599,0.4348,0.4348,0.034
HML,DM_stat,-2.8831,3.1926,1.648,1.6478,
HML,DM_pval,0.0039,0.0014,0.0994,0.0994,
RMW,MAE,0.026194,0.020317,0.021518,0.021518,0.021011
RMW,MAPE,309.84,135.91,144.26,144.24,100.62
RMW,RMSE,0.042464,0.032365,0.032577,0.032577,0.035389
RMW,THEIL-U,1.0,0.7622,0.7672,0.7672,0.8334
RMW,PT_stat,-0.0139,-0.4527,0.0,0.0,-0.2353
RMW,PT_pval,0.9889,0.6507,1.0,1.0,0.814
RMW,DM_stat,-1.6356,0.9655,0.7875,0.7876,
RMW,DM_pval,0.1019,0.3343,0.431,0.431,
CMA,MAE,0.018998,0.014668,0.015302,0.015302,0.015527
CMA,MAPE,520.03,188.97,212.77,212.8,402.98
CMA,RMSE,0.026826,0.020051,0.021012,0.021012,0.020841
CMA,THEIL-U,1.0,0.7475,0.7833,0.7833,0.7769
CMA,PT_stat,0.7159,0.7102,1.9163,1.9163,2.0304
CMA,PT_pval,0.4741,0.4776,0.0553,0.0553,0.0423
CMA,DM_stat,-3.142,1.4788,-0.231,-0.2308,
CMA,DM_pval,0.0017,0.1392,0.8173,0.8174,
