Panel,Models,Annualized return (%),Sharpe ratio,Sortino ratio,MDD (%),CDB
Panel A,MKT,3.748,0.135,0.174,54.108,
Panel A,SMB,3.844,0.202,0.294,22.657,
Panel A,HML,3.648,0.185,0.274,28.318,
Panel A,RMW,4.733,0.279,0.319,23.266,
Panel A,CMA,4.02,0.346,0.702,14.675,
Panel A,1/N,3.998,0.482,0.688,16.016,0.926
Panel B,RW-DCC,3.795,0.321,0.4,19.104,0.554
Panel B,RW-ADCC,3.807,0.322,0.403,19.081,0.554
Panel B,RW-GAS,3.904,0.313,0.372,20.308,0.36
Panel B,Average,3.835,0.319,0.392,19.498,0.489
Panel B,SC-SVR-DCC,3.821,0.209,0.264,36.923,0.0
Panel B,SC-SVR-ADCC,3.854,0.213,0.267,36.955,0.0
Panel B,SC-SVR-GAS,3.496,0.171,0.204,42.789,
Panel B,Average,3.724,0.198,0.245,38.889,0.0
Panel B,DMA-DCC,2.248,0.096,0.129,17.908,0.806
Panel B,DMA-ADCC,2.243,0.095,0.128,17.908,0.807
Panel B,DMA-GAS,2.354,0.11,0.15,17.886,0.807
Panel B,Average,2.281,0.1,0.136,17.9,0.807
Panel B,Total Average,3.28,0.205,0.258,25.429,0.486
Panel B,DCC Average,3.288,0.209,0.265,24.645,0.453
Panel B,ADCC Average,3.301,0.21,0.266,24.648,0.453
Panel B,GAS Average,3.251,0.198,0.242,26.994,0.584
Panel C,RW-DCC-S,3.905,0.283,0.379,22.611,0.627
Panel C,RW-ADCC-S,3.946,0.287,0.384,22.455,0.627
Panel C,RW-GAS-S,4.439,0.331,0.441,23.567,0.554
Panel C,Average,4.097,0.3,0.401,22.878,0.602
Panel C,SC-SVR-DCC-S,3.566,0.194,0.241,31.744,
Panel C,SC-SVR-ADCC-S,3.576,0.195,0.242,31.657,
Panel C,SC-SVR-GAS-S,3.952,0.221,0.282,34.153,0.0
Panel C,Average,3.698,0.203,0.255,32.518,0.0
Panel C,DMA-DCC-S,3.284,0.213,0.296,28.381,0.798
Panel C,DMA-ADCC-S,3.278,0.212,0.294,28.381,0.798
Panel C,DMA-GAS-S,3.435,0.229,0.316,29.095,0.8
Panel C,Average,3.333,0.218,0.302,28.619,0.798
Panel C,Total Average - S,3.709,0.241,0.319,28.005,0.6
Panel C,DCC-S Average,3.585,0.23,0.305,27.578,0.712
Panel C,ADCC-S Average,3.6,0.232,0.307,27.498,0.712
Panel C,GAS-S Average,3.942,0.26,0.346,28.938,0.451
