Panel,Models,Annualized return (%),Return/CVaR,Sortino ratio,MDD (%),CDB
Panel A,MKT,3.68,0.349,0.308,54.108,
Panel A,SMB,3.772,0.64,0.511,22.657,
Panel A,HML,3.583,0.529,0.495,28.318,
Panel A,RMW,4.625,0.65,0.484,23.266,
Panel A,CMA,3.942,1.265,1.249,14.675,
Panel A,1/N,3.92,1.344,1.153,16.016,0.926
Panel B,RW-DCC-SKT,3.357,0.76,0.66,20.297,0.631
Panel B,RW-ADCC-SKT,4.214,1.002,0.829,19.166,0.703
Panel B,RW-GAS-SKT,3.702,0.873,0.744,21.28,0.688
Panel B,Average,3.758,0.878,0.744,20.248,0.674
Panel B,SC-SVR-DCC-SKT,3.631,0.523,0.465,33.564,0.0
Panel B,SC-SVR-ADCC-SKT,3.654,0.529,0.467,34.804,0.0
Panel B,SC-SVR-GAS-SKT,3.664,0.493,0.44,39.392,
Panel B,Average,3.65,0.515,0.457,35.92,0.0
Panel B,DMA-DCC-SKT,2.262,0.528,0.478,17.877,0.827
Panel B,DMA-ADCC-SKT,2.428,0.559,0.504,17.811,0.82
Panel B,DMA-GAS-SKT,2.57,0.606,0.544,17.789,0.822
Panel B,Average,2.42,0.564,0.509,17.826,0.823
Panel B,Total Average,3.276,0.653,0.57,24.665,0.561
Panel B,DCC Average,3.083,0.604,0.534,23.913,0.486
Panel B,ADCC Average,3.432,0.697,0.6,23.927,0.508
Panel B,GAS Average,3.312,0.657,0.576,26.154,0.755
Panel C,RW-DCC-SKT-S,4.49,0.807,0.707,24.628,0.628
Panel C,RW-ADCC-SKT-S,3.953,0.689,0.598,23.293,0.426
Panel C,RW-GAS-SKT-S,4.002,0.76,0.676,22.887,0.548
Panel C,Average,4.148,0.752,0.66,23.603,0.534
Panel C,SC-SVR-DCC-SKT-S,3.318,0.526,0.435,26.098,
Panel C,SC-SVR-ADCC-SKT-S,3.593,0.585,0.488,25.902,
Panel C,SC-SVR-GAS-SKT-S,3.992,0.62,0.51,27.357,0.0
Panel C,Average,3.634,0.577,0.477,26.452,0.0
Panel C,DMA-DCC-SKT-S,3.192,0.627,0.558,26.647,0.807
Panel C,DMA-ADCC-SKT-S,3.011,0.558,0.5,27.545,0.76
Panel C,DMA-GAS-SKT-S,3.298,0.65,0.574,27.869,0.833
Panel C,Average,3.167,0.612,0.544,27.354,0.8
Panel C,Total Average - S,3.65,0.647,0.561,25.803,0.572
Panel C,DCC-S Average,3.666,0.654,0.567,25.791,0.717
Panel C,ADCC-S Average,3.519,0.611,0.529,25.58,0.593
Panel C,GAS-S Average,3.764,0.677,0.586,26.038,0.46
